sha,author,date,message
5b2fc67eeef09b76a93dab3d93b15b725aaf1259,kevaundray,2025-08-18T12:42:22Z,"core/rawdb: add non-unix alternative for tablewriter (#32455)

Continuation of https://github.com/ethereum/go-ethereum/issues/32022

tablewriter assumes unix or windows, which may not be the case for
embedded targets.

For v0.0.5 of tablewriter, it is noted in table.go: ""The protocols were
written in pure Go and works on windows and unix systems""

---------

Co-authored-by: rjl493456442 <garyrong0905@gmail.com>"
85077be58edea572f29c3b1a6a055077f1a56a8b,kevaundray,2025-08-18T06:15:48Z,metrics: add tinygo build flag for CPU time (#32454)
a9a19c4202161347559d30f295fc268e18a4a089,jwasinger,2025-08-15T13:58:00Z,"core/vm: fix EIP-7823 modexp input length check (#32363)

The order of the checks was wrong which would have allowed a call to
modexp with `baseLen == 0 && modLen == 0` post fusaka.

Also handles an edge case where base/mod/exp length >= 2**64

---------

Co-authored-by: Felix Lange <fjl@twurst.com>"
1693a48f8cf227f77c66457261a5a53938221ce7,Felix Lange,2025-08-15T12:08:27Z,"rlp: remove workaround for Value.Bytes (#32433)

As of Go 1.19, it is permitted to call Bytes() on a reflect.Value
representing an adressable byte array. So we can remove our workaround,
undoing #22924.

https://go.dev/doc/go1.19#reflectpkgreflect

> The method [Value.Bytes](https://go.dev/pkg/reflect/#Value.Bytes) now
accepts addressable arrays in addition to slices."
1d29e3ec0ed0afc7c2cc7ebe2b4b694cc5485b9a,Felix Lange,2025-08-15T12:07:27Z,"consensus/misc/eip4844: use blob parameters of current header (#32424)

This changes the implementation to resolve the blob parameters according
to the current header timestamp. This matters for EIP-7918, where we
would previously resolve the UpdateFraction according to the parent
header fork, leading to a confusing situation at the fork transition
block.

---------

Co-authored-by: MariusVanDerWijden <m.vanderwijden@live.de>"
88922d2bf5fc33b29ecc87b186d7d673264f1ef6,cui,2025-08-15T07:12:22Z,crypto/bn256: refactor to use bitutil.TestBytes (#32435)
ccf684f1bae5cc542d49fb5b46e296b6e465d9ca,cui,2025-08-15T07:10:44Z,core/vm: refactor to use bitutil.TestBytes (#32434)
a002a6c03f1990feebfa90da9d0e678a623c228f,Guillaume Ballet,2025-08-15T06:58:24Z,"cmd/evm: use PathScheme in blockrunner (#32444)

This is a preparatory change for Verkle/binary trees, since they don't
support the hash-based database scheme. This has no impact on the MPT."
ea3a71792da3c883d6806e350cf34d795a253913,Guillaume Ballet,2025-08-15T06:34:32Z,"trie, core/state: add the transition tree (verkle transition part 2) (#32366)

This add some of the changes that were missing from #31634. It
introduces the `TransitionTrie`, which is a façade pattern between the
current MPT trie and the overlay tree.

---------

Signed-off-by: Guillaume Ballet <3272758+gballet@users.noreply.github.com>
Co-authored-by: rjl493456442 <garyrong0905@gmail.com>"
2dbb580f51b61d7ff78fceb44b06835827704110,cui,2025-08-14T12:47:43Z,build: remove unused functions (#32393)
